bet_id,p_blend,edge,price,market,game_id,k_mod,k_raw,k_eff,k_corr,stake,rank_in_game,cum_risk
2021_16_DET_ATL_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_16_DET_ATL,0.21,0.015107913669064053,0.0,0.0,0.0,2.0,0.35005779420142885
2021_16_DET_ATL_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_16_DET_ATL,0.21,0.015107913669064053,0.0,0.0,0.0,3.0,0.35005779420142885
2021_16_DET_ATL_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_16_DET_ATL,0.21,0.015107913669064053,0.0,0.0,0.0,4.0,0.35005779420142885
2021_17_ARI_DAL_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_17_ARI_DAL,0.21,0.015107913669064053,0.0,0.0,0.0,1.0,0.35005779420142885
2021_17_ARI_DAL_spread,0.5253164556962026,0.0028768699654776,-110.0,spread,2021_17_ARI_DAL,0.21,0.006041426927503129,0.0,0.0,0.0,2.0,0.35005779420142885
2021_17_ARI_DAL_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_17_ARI_DAL,0.21,0.015107913669064053,0.0,0.0,0.0,3.0,0.35005779420142885
2021_17_ARI_DAL_spread,0.5253164556962026,0.0028768699654776,-110.0,spread,2021_17_ARI_DAL,0.21,0.006041426927503129,0.0,0.0,0.0,4.0,0.35005779420142885
2021_17_ATL_BUF_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_17_ATL_BUF,0.21,0.015107913669064053,0.0,0.0,0.0,1.0,0.35005779420142885
2021_17_ATL_BUF_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_17_ATL_BUF,0.21,0.015107913669064053,0.0,0.0,0.0,2.0,0.35005779420142885
2021_17_ATL_BUF_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_17_ATL_BUF,0.21,0.015107913669064053,0.0,0.0,0.0,3.0,0.35005779420142885
