season,week,game_id,bet_type,bet_line,pick,price,edge_pts,p_raw,won,p_cal
2019,12,2019_12_TB_ATL,spread,-3.5,ATL,-110,-8.147552005703574,0.2654165541450677,0,0.5668060752806513
2019,12,2019_12_TB_ATL,spread,-3.5,ATL,-110,-1.1560734310867797,0.4645692771827839,0,0.5668060752806513
2019,13,2019_13_BUF_DAL,spread,6.5,BUF,-110,-11.841429324903265,0.1811795186879625,1,0.5668060752806513
2019,13,2019_13_BUF_DAL,spread,6.5,DAL,-110,1.1429670204862878,0.5350300843839914,0,0.5668060752806513
2019,13,2019_13_CLE_PIT,spread,-1.0,PIT,-110,3.148621749679143,0.5956880506341685,1,0.5668060752806513
2019,13,2019_13_CLE_PIT,spread,-1.0,PIT,-110,1.1507251165308825,0.5352672391698741,1,0.5668060752806513
2019,13,2019_13_LAC_DEN,spread,-4.5,DEN,-110,1.1547180052529642,0.5353892916455267,1,0.5668060752806513
2019,13,2019_13_LAC_DEN,spread,-4.5,DEN,-110,10.144351002909001,0.7824030512515538,1,0.6406249999999999
2019,13,2019_13_NO_ATL,spread,-7.0,ATL,-110,1.1593507336078623,0.53553089822138,0,0.5668060752806513
2019,13,2019_13_NO_ATL,spread,-7.0,ATL,-110,15.143081804327277,0.8779606374280378,0,0.6406249999999999
2019,13,2019_13_NYJ_CIN,spread,-2.5,CIN,-110,1.153064833861568,0.5353387587945391,1,0.5668060752806513
2019,13,2019_13_NYJ_CIN,spread,-2.5,CIN,-110,6.147419271539442,0.6818500339274179,1,0.5668060752806513
2019,13,2019_13_SF_BAL,spread,5.5,BAL,-110,1.143885244358657,0.5350581539301871,0,0.5668060752806513
2019,13,2019_13_SF_BAL,spread,5.5,SF,-110,-9.8428718902363,0.22448180043863475,1,0.5668060752806513
2019,13,2019_13_TEN_IND,spread,-1.0,IND,-110,1.1510000622993048,0.5352756436708097,0,0.5668060752806513
2019,13,2019_13_TEN_IND,spread,-1.0,IND,-110,3.148896695447566,0.5956962442278886,0,0.5668060752806513
2019,13,2019_13_BUF_DAL,spread,-6.5,DAL,-110,-1.158570675096735,0.46449294517042233,0,0.5668060752806513
2019,13,2019_13_BUF_DAL,spread,-6.5,DAL,-110,-14.142967020486289,0.13831509380183782,0,0.5668060752806513
2019,13,2019_13_CHI_DET,spread,5.5,DET,-110,-1.142768064716055,0.46497599759607205,0,0.5668060752806513
2019,13,2019_13_CHI_DET,spread,5.5,CHI,-110,9.844504067351796,0.7755558032113931,1,0.6406249999999999
2019,13,2019_13_CHI_DET,spread,-5.5,DET,-110,12.142768064716055,0.8248632913230817,1,0.6406249999999999
2019,13,2019_13_CHI_DET,spread,-5.5,DET,-110,1.155495932648205,0.5354130705246785,1,0.5668060752806513
2019,13,2019_13_CLE_PIT,spread,1.0,PIT,-110,-1.148621749679143,0.4647970567523229,1,0.5668060752806513
2019,13,2019_13_CLE_PIT,spread,1.0,CLE,-110,0.8492748834691175,0.5260439086887464,0,0.5668060752806513
2019,13,2019_13_CLE_PIT,spread,-1.0,PIT,-110,3.148621749679143,0.5956880506341685,1,0.5668060752806513
