season,week,game_id,bet_type,bet_line,pick,price,edge_pts,p_raw,won,p_cal,p_in,p_cal_season
2019,11,2019_11_ARI_SF,spread,10.0,ARI,-110,-19.50000621065484,0.081831430159714,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_ARI_SF,spread,10.0,SF,-110,0.499993721148865,0.5142447314593768,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_BUF_MIA,spread,-7.0,MIA,-110,14.499993789345162,0.8498321686510711,0,0.672,0.672,0.672
2019,11,2019_11_BUF_MIA,spread,-7.0,MIA,-110,0.499993721148865,0.5142447314593768,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_CHI_LA,spread,-5.0,LA,-110,-0.4999937893451607,0.4857552665985489,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_CHI_LA,spread,-5.0,LA,-110,-10.499993721148863,0.2266274874338271,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_CHI_LA,spread,5.0,CHI,-110,-9.500006210654838,0.2487045850472174,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_CHI_LA,spread,5.0,LA,-110,0.499993721148865,0.5142447314593768,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_CIN_OAK,spread,-13.0,OAK,-110,-0.4999937893451598,0.4857552665985489,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_CIN_OAK,spread,-13.0,OAK,-110,-26.499993721148865,0.0291884648050829,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_DAL_DET,spread,7.5,DET,-110,-0.4999937893451607,0.4857552665985489,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_DAL_DET,spread,7.5,DAL,-110,14.500006278851137,0.8498323768088079,1,0.672,0.672,0.672
2019,11,2019_11_DAL_DET,spread,-7.5,DET,-110,15.499993789345162,0.8658838197743282,0,0.672,0.672,0.672
2019,11,2019_11_DAL_DET,spread,-7.5,DET,-110,0.499993721148865,0.5142447314593768,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_DEN_MIN,spread,-10.0,MIN,-110,-0.4999937893451598,0.4857552665985489,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_DEN_MIN,spread,-10.0,MIN,-110,-20.499993721148865,0.0715580106461488,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_DEN_MIN,spread,10.0,DEN,-110,-19.50000621065484,0.081831430159714,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_DEN_MIN,spread,10.0,MIN,-110,0.499993721148865,0.5142447314593768,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_KC_LAC,spread,-5.5,LAC,-110,11.499993789345162,0.7942987763677656,0,0.6256983240223464,0.6256983240223464,0.6256983240223464
2019,11,2019_11_KC_LAC,spread,-5.5,LAC,-110,0.499993721148865,0.5142447314593768,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_NE_PHI,spread,4.5,PHI,-110,-0.4999937893451607,0.4857552665985489,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_NE_PHI,spread,4.5,NE,-110,8.500006278851135,0.7281220935170096,1,0.6256983240223464,0.6256983240223464,0.6256983240223464
2019,11,2019_11_NE_PHI,spread,-4.5,PHI,-110,9.499993789345162,0.7512951337873162,0,0.6256983240223464,0.6256983240223464,0.6256983240223464
2019,11,2019_11_NE_PHI,spread,-4.5,PHI,-110,0.499993721148865,0.5142447314593768,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_NO_TB,spread,-5.0,TB,-110,10.499993789345162,0.7733725140330632,0,0.6256983240223464,0.6256983240223464,0.6256983240223464
2019,11,2019_11_NO_TB,spread,-5.0,TB,-110,0.499993721148865,0.5142447314593768,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_NYJ_WAS,spread,-1.0,WAS,-110,-0.4999937893451605,0.4857552665985489,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_NYJ_WAS,spread,-1.0,WAS,-110,-2.499993721148865,0.4291372913650267,0,0.5655065395699401,0.5655065395699401,0.5655065395699401
2019,11,2019_11_NYJ_WAS,spread,1.0,NYJ,-110,-1.5000062106548395,0.4573376479089314,1,0.5655065395699401,0.5655065395699401,0.5655065395699401
